1,Men's Moguls,73.96
2,Men's Moguls,82.57
3,Men's Moguls,15.11
4,Men's Moguls,75.98
5,Women's Moguls,68.19
6,Women's Moguls,75.35
7,Women's Moguls,75.08
8,Women's Moguls,68.68
10,Men's Aerials,61.95
11,Women's Aerials,44.69
12,Women's Aerials,55.34
13,Women's Aerials,47.01
14,Women's Aerials,34.28
15,Men's Half-Pipe,92
16,Men's Half-Pipe,62
17,Men's Half-Pipe,62.25
18,Women's Half-Pipe,48.25
19,Women's Half-Pipe,57.5
20,Men's Slopestyle,1
22,Men's Aerials,86.28
23,Men's Aerials,98.11
24,Women's Aerials,52.24
25,Men's Moguls,77.02
26,Men's Moguls,86.63
27,Men's Moguls,12.22
28,Women's Moguls,70.98
29,Women's Moguls,78.56
30,Women's Moguls,13.33
31,Women's Moguls,74.89
38,Men's Half-Pipe,71.25
39,Women's Half-Pipe,36.75
40,Women's Half-Pipe,23.25
41,Women's Half-Pipe,50
42,Men's Slopestyle,86
43,Men's Slopestyle,85.2
44,Men's Slopestyle,76.41
45,Men's Slopestyle,61.08
46,Women's Slopestyle,76.33
47,Women's Slopestyle,36.61
48,Women's Slopestyle,36.45
66,Men's Slopestyle,87.16
67,Men's Half-Pipe,97.75
68,Men's Half-Pipe,95.25
69,Women's Half-Pipe,98.25
70,Women's Half-Pipe,89.75
71,Women's Half-Pipe,85.75
76,Women's Moguls,78.65
77,Women's Moguls,77.4
78,Men's Moguls,82.19
79,Women's Slopestyle,83
80,Women's Slopestyle,75.38
